Timestamp,Event,Value,Predicted_Crash
2026-08-15 14:09:05,Live Multiplier,28.34,
2026-08-15 14:09:05,Live Multiplier,28.59,
2026-08-15 14:09:05,Live Multiplier,28.59,
2026-08-15 14:09:05,Live Multiplier,28.59,
2026-08-15 14:09:05,Live Multiplier,28.84,
2026-08-15 14:09:05,Live Multiplier,28.84,
2026-08-15 14:09:05,Live Multiplier,28.84,
2026-08-15 14:09:06,Live Multiplier,29.09,
2026-08-15 14:09:06,Live Multiplier,29.09,
2026-08-15 14:09:06,Live Multiplier,29.09,
2026-08-15 14:09:06,Live Multiplier,29.34,
2026-08-15 14:09:06,Live Multiplier,29.34,
2026-08-15 14:09:06,Live Multiplier,29.34,
2026-08-15 14:09:06,Live Multiplier,29.6,
2026-08-15 14:09:06,Live Multiplier,29.6,
2026-08-15 14:09:06,Live Multiplier,29.6,
2026-08-15 14:09:06,Live Multiplier,29.85,
2026-08-15 14:09:06,Live Multiplier,29.85,
2026-08-15 14:09:06,Live Multiplier,29.85,
2026-08-15 14:09:06,Live Multiplier,30.12,
2026-08-15 14:09:06,Live Multiplier,30.12,
2026-08-15 14:09:06,Live Multiplier,30.12,
2026-08-15 14:09:06,Live Multiplier,30.38,
2026-08-15 14:09:06,Live Multiplier,30.38,
2026-08-15 14:09:06,Live Multiplier,30.38,
2026-08-15 14:09:06,Live Multiplier,30.64,
2026-08-15 14:09:06,Live Multiplier,30.64,
2026-08-15 14:09:06,Live Multiplier,30.64,
2026-08-15 14:09:06,Live Multiplier,30.91,
2026-08-15 14:09:06,Live Multiplier,30.91,
2026-08-15 14:09:06,Live Multiplier,30.91,
2026-08-15 14:09:06,Live Multiplier,31.17,
2026-08-15 14:09:06,Live Multiplier,31.45,
2026-08-15 14:09:06,Live Multiplier,31.17,
2026-08-15 14:09:06,Live Multiplier,31.17,
2026-08-15 14:09:06,Live Multiplier,31.45,
2026-08-15 14:09:06,Live Multiplier,31.45,
2026-08-15 14:09:06,Live Multiplier,31.72,
2026-08-15 14:09:06,Live Multiplier,31.72,
2026-08-15 14:09:06,Live Multiplier,31.72,
2026-08-15 14:09:07,Live Multiplier,32,
2026-08-15 14:09:07,Live Multiplier,32,
2026-08-15 14:09:07,Live Multiplier,32,
2026-08-15 14:09:07,Live Multiplier,32.28,
2026-08-15 14:09:07,Live Multiplier,32.28,
2026-08-15 14:09:07,Live Multiplier,32.28,
2026-08-15 14:09:07,Live Multiplier,32.56,
2026-08-15 14:09:07,Live Multiplier,32.56,
2026-08-15 14:09:07,Live Multiplier,32.56,
2026-08-15 14:09:07,Live Multiplier,32.84,
2026-08-15 14:09:07,Live Multiplier,32.84,
2026-08-15 14:09:07,Live Multiplier,32.84,
2026-08-15 14:09:07,Live Multiplier,33.12,
2026-08-15 14:09:07,Live Multiplier,33.12,
2026-08-15 14:09:07,Live Multiplier,33.12,
2026-08-15 14:09:07,Live Multiplier,33.41,
2026-08-15 14:09:07,Live Multiplier,33.41,
2026-08-15 14:09:07,Live Multiplier,33.41,
2026-08-15 14:09:07,Live Multiplier,33.7,
2026-08-15 14:09:07,Live Multiplier,33.7,
2026-08-15 14:09:07,Live Multiplier,33.7,
2026-08-15 14:09:07,Live Multiplier,34,
2026-08-15 14:09:07,Live Multiplier,34,
2026-08-15 14:09:07,Live Multiplier,34,
2026-08-15 14:09:07,Live Multiplier,34.29,
2026-08-15 14:09:07,Live Multiplier,34.29,
2026-08-15 14:09:07,Live Multiplier,34.29,
2026-08-15 14:09:08,Live Multiplier,34.59,
2026-08-15 14:09:08,Live Multiplier,34.59,
2026-08-15 14:09:08,Live Multiplier,34.59,
2026-08-15 14:09:08,Live Multiplier,34.89,
2026-08-15 14:09:08,Live Multiplier,34.89,
2026-08-15 14:09:08,Live Multiplier,34.89,
2026-08-15 14:09:08,Live Multiplier,35.2,
2026-08-15 14:09:08,Live Multiplier,35.2,
2026-08-15 14:09:08,Live Multiplier,35.2,
2026-08-15 14:09:08,Live Multiplier,35.5,
2026-08-15 14:09:08,Live Multiplier,35.5,
2026-08-15 14:09:08,Live Multiplier,35.5,
2026-08-15 14:09:08,Live Multiplier,35.81,
2026-08-15 14:09:08,Live Multiplier,35.81,
2026-08-15 14:09:08,Live Multiplier,35.81,
2026-08-15 14:09:08,Live Multiplier,36.13,
2026-08-15 14:09:08,Live Multiplier,36.13,
2026-08-15 14:09:08,Live Multiplier,36.13,
2026-08-15 14:09:08,Live Multiplier,36.44,
2026-08-15 14:09:08,Live Multiplier,36.44,
2026-08-15 14:09:08,Live Multiplier,36.44,
2026-08-15 14:09:08,Live Multiplier,36.76,
2026-08-15 14:09:08,Live Multiplier,36.76,
2026-08-15 14:09:08,Live Multiplier,36.76,
2026-08-15 14:09:08,Live Multiplier,37.08,
2026-08-15 14:09:08,Live Multiplier,37.08,
2026-08-15 14:09:08,Live Multiplier,37.08,
2026-08-15 14:09:09,Live Multiplier,37.58,
2026-08-15 14:09:09,Live Multiplier,37.8,
2026-08-15 14:09:09,Live Multiplier,37.58,
